Product Name,Ad Type,Campaign Id,Ad Group Id,Campaign Name,Ad Group Name,Default Bid,Ad Group Type,ASIN,SKU,Total Cost,Pick Pack Fee,AMZ Price,Referral Fee,BE ROAS,BE ACOS,Organic Target,Sponsored Target,DP CVR,Percentage
Cakeware Pans 4 7 10,Sponsored Brands,280974508204922,,Cakeware Pans 4 7 9 - SBV - KW - Main Video - KW Exact - Tiktok Var 2,,,KW Exact,,,,,,,,,,,,1.0
Cakeware Pans 4 7 9,Sponsored Products,39253864681804,60145413820949,Cakeware Pans 4 7 9 - SP - KW - Comp,Cakeware Pans 4 7 9 - SP - KW - Comp - KW Broad,0.35,KW Broad,B08D75HXSN,ie-pan-479in-3,4.82,6.08,20.95,3.14,3.03,0.33,1.0,2.0,,2.75
Cakeware Pans 4 7 9,Sponsored Products,39253864681804,66769355514026,Cakeware Pans 4 7 9 - SP - KW - Comp,Cakeware Pans 4 7 9 - SP - KW - Comp - KW Exact,0.45,KW Exact,B08D75HXSN,ie-pan-479in-3,4.82,6.08,20.95,3.14,3.03,0.33,1.0,2.0,,2.75
Cakeware Pans 4 7 9,Sponsored Products,16463685274337,208634445733695,Cakeware Pans 4 7 9 - SP - KW - Main,Cakeware Pans 4 7 9 - SP - KW - Main - KW Broad,0.35,KW Broad,B08D75HXSN,ie-pan-479in-3,4.82,6.08,20.95,3.14,3.03,0.33,1.0,2.0,,2.75
Cakeware Pans 4 7 9,Sponsored Products,16463685274337,26381495206437,Cakeware Pans 4 7 9 - SP - KW - Main,Cakeware Pans 4 7 9 - SP - KW - Main - KW Exact,0.6,KW Exact,B08D75HXSN,ie-pan-479in-3,4.82,6.08,20.95,3.14,3.03,0.33,1.0,2.0,,2.75
Cakeware Pans 4 7 9,Sponsored Products,21096087932875,127992842133182,Cakeware Pans 4 7 9 - SP - Prod - Comp,Cakeware Pans 4 7 9 - SP - Prod - Comp - ASIN Comp - Direct,0.25,ASIN Comp,B08D75HXSN,ie-pan-479in-3,4.82,6.08,20.95,3.14,3.03,0.33,1.0,2.0,,4.0
Cakeware Pans 4 Inch,Sponsored Brands,1879487907044,,Cakeware Pans 4 Inch - SBV - KW - Main Video - KW Broad,,,KW Broad,B08D74SPZW,ie-pan-4in-4,4.8,5.4,18.95,2.84,3.21,0.31,1.0,2.0,,1.0
Cakeware Pans 4 Inch,Sponsored Brands,59286395790755,,Cakeware Pans 4 Inch - SBV - KW - Main Video - KW Exact - Tiktok Var 2,,,KW Exact,B08D74SPZW,ie-pan-4in-4,4.8,5.4,18.95,2.84,3.21,0.31,1.0,2.0,,1.0
Cakeware Pans 4 Inch,Sponsored Products,199338958309075,64831506594515,Cakeware Pans 4 Inch - SP - KW - Comp,Cakeware Pans 4 Inch - SP - KW - Comp - KW Broad,0.4,KW Broad,B08D74SPZW,ie-pan-4in-4,4.8,5.4,18.95,2.84,3.21,0.31,1.0,2.0,,2.75
Cakeware Pans 4 Inch,Sponsored Products,199338958309075,66130260025395,Cakeware Pans 4 Inch - SP - KW - Comp,Cakeware Pans 4 Inch - SP - KW - Comp - KW Exact,0.55,KW Exact,B08D74SPZW,ie-pan-4in-4,4.8,5.4,18.95,2.84,3.21,0.31,1.0,2.0,,2.75
Cakeware Pans 4 Inch,Sponsored Products,84585167609544,121496827847721,Cakeware Pans 4 Inch - SP - KW - Main,Cakeware Pans 4 Inch - SP - KW - Main - KW Exact,0.65,KW Exact,B08D74SPZW,ie-pan-4in-4,4.8,5.4,18.95,2.84,3.21,0.31,1.0,2.0,,2.75
Cakeware Pans 4 Inch,Sponsored Products,84585167609544,135988132126912,Cakeware Pans 4 Inch - SP - KW - Main,Cakeware Pans 4 Inch - SP - KW - Main - KW Broad,0.3,KW Broad,B08D74SPZW,ie-pan-4in-4,4.8,5.4,18.95,2.84,3.21,0.31,1.0,2.0,,2.75
Cakeware Pans 4 Inch,Sponsored Products,13282003109053,100643991638520,Cakeware Pans 4 Inch - SP - Prod - Comp,Cakeware Pans 4 Inch - SP - Prod - Comp - ASIN Comp - Direct,0.25,ASIN Comp,B08D74SPZW,ie-pan-4in-4,4.8,5.4,18.95,2.84,3.21,0.31,1.0,2.0,,4.0
Cakeware Pans 7 Inch,Sponsored Brands,216840620373629,,Cakeware Pans 7 Inch - SBV - KW - Main Video - KW Broad,,,KW Broad,B08D75BTWH,ie-pan-7in-1,1.76,5.4,10.95,1.64,5.1,0.2,1.0,2.0,,1.0
Cakeware Pans 7 Inch,Sponsored Brands,55181137526681,,Cakeware Pans 7 Inch - SBV - KW - Main Video - KW Exact - Tiktok Var 2,,,KW Exact,B08D75BTWH,ie-pan-7in-1,1.76,5.4,10.95,1.64,5.1,0.2,1.0,2.0,,1.0
Cakeware Pans 7 Inch,Sponsored Products,149553119210452,127393650473556,Cakeware Pans 7 Inch - SP - KW - Comp,Cakeware Pans 7 Inch - SP - KW - Comp - KW Broad,0.4,KW Broad,B08D75BTWH,ie-pan-7in-1,1.76,5.4,10.95,1.64,5.1,0.2,1.0,2.0,,2.75
Cakeware Pans 7 Inch,Sponsored Products,149553119210452,194207408241394,Cakeware Pans 7 Inch - SP - KW - Comp,Cakeware Pans 7 Inch - SP - KW - Comp - KW Exact,0.55,KW Exact,B08D75BTWH,ie-pan-7in-1,1.76,5.4,10.95,1.64,5.1,0.2,1.0,2.0,,2.75
